Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSuite_01_Positive,,,,2023-05-31 18:46:41,2023-05-31 18:48:41,2m - 0.546s,PASSED
,,,,,,,
Test Cases/TC_01_Checkout using valid account,,,,2023-05-31 18:46:41,2023-05-31 18:47:27,45.734s,PASSED
"startApplication(APK, true)",,,,2023-05-31 18:46:41,2023-05-31 18:46:53,11.840s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Sauce Labs Backpack""), 0)",,,,2023-05-31 18:46:53,2023-05-31 18:46:54,0.714s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Plus Icon""), 0)",,,,2023-05-31 18:46:54,2023-05-31 18:46:55,1.247s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Add To Cart""), 0)",,,,2023-05-31 18:46:55,2023-05-31 18:46:56,0.916s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Cart Icon""), 0)",,,,2023-05-31 18:46:56,2023-05-31 18:46:57,0.851s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Minus Icon""), 0)",,,,2023-05-31 18:46:57,2023-05-31 18:46:58,0.758s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Proceed To Checkout""), 0)",,,,2023-05-31 18:46:58,2023-05-31 18:46:58,0.935s,PASSED
"setText(findTestObject(""Object Repository/Android/android.widget.EditText - Username""), USERNAME, 0)",,,,2023-05-31 18:46:58,2023-05-31 18:47:01,2.210s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Android/android.widget.EditText - Password""), PASSWORD, 0)",,,,2023-05-31 18:47:01,2023-05-31 18:47:02,1.165s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Login""), 0)",,,,2023-05-31 18:47:02,2023-05-31 18:47:03,0.715s,PASSED
"setText(findTestObject(""Object Repository/Android/android.widget.EditText - Full Name""), ""Abdul Budi"", 0)",,,,2023-05-31 18:47:03,2023-05-31 18:47:05,2.558s,PASSED
"setText(findTestObject(""Object Repository/Android/android.widget.EditText - Address Line 1""), ""Mawar 123"", 0)",,,,2023-05-31 18:47:05,2023-05-31 18:47:07,1.660s,PASSED
