Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSuite_02_Negative,,,,2023-05-31 18:50:20,2023-05-31 18:51:29,1m - 9.009s,PASSED
,,,,,,,
Test Cases/TCN_01_Checkout using invalid account,,,,2023-05-31 18:50:20,2023-05-31 18:50:44,23.421s,PASSED
"startApplication(APK, true)",,,,2023-05-31 18:50:20,2023-05-31 18:50:32,11.632s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Sauce Labs Backpack""), 0)",,,,2023-05-31 18:50:32,2023-05-31 18:50:33,0.728s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Plus Icon""), 0)",,,,2023-05-31 18:50:33,2023-05-31 18:50:34,1.257s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Add To Cart""), 0)",,,,2023-05-31 18:50:34,2023-05-31 18:50:35,0.917s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.ImageView - Cart Icon""), 0)",,,,2023-05-31 18:50:35,2023-05-31 18:50:36,0.850s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Proceed To Checkout""), 0)",,,,2023-05-31 18:50:36,2023-05-31 18:50:37,0.767s,PASSED
"setText(findTestObject(""Object Repository/Android/android.widget.EditText - Username""), INV_USERNAME, 0)",,,,2023-05-31 18:50:37,2023-05-31 18:50:38,1.873s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Android/android.widget.EditText - Password""), PASSWORD, 0)",,,,2023-05-31 18:50:38,2023-05-31 18:50:40,1.210s,PASSED
"tap(findTestObject(""Object Repository/Android/android.widget.TextView - Login""), 0)",,,,2023-05-31 18:50:40,2023-05-31 18:50:40,0.757s,PASSED
"takeScreenshot(""D:\Program Files\Katalon\Katalon Projects\TaskDay8_KatalonMobileTesting_DendyIndriyoSaputro\Screenshot\screenshot2.png"")",,,,2023-05-31 18:50:40,2023-05-31 18:50:41,0.589s,PASSED
delay(2),,,,2023-05-31 18:50:41,2023-05-31 18:50:43,2.038s,PASSED
closeApplication(),,,,2023-05-31 18:50:43,2023-05-31 18:50:44,0.545s,PASSED
,,,,,,,
Test Cases/TCN_02_Checkout using invalid card,,,,2023-05-31 18:50:44,2023-05-31 18:51:29,45.414s,PASSED
"startApplication(APK, true)",,,,2023-05-31 18:50:44,2023-05-31 18:50:55,10.822s,PASSED
